FrameCnt,focal_length,datetime,OSD.latitude,OSD.longitude,OSD.xSpeed [MPH],OSD.ySpeed [MPH],OSD.zSpeed [MPH],OSD.directionOfTravel,OSD.pitch,OSD.roll,OSD.yaw,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,HOME.longitude,HOME.latitude,adjusted height,Drone type
25,250.0,2023-10-15 17:16:33,33.26269201828113,126.17931447841033,0.0,0.0,0.0,1.1,-10.533333333333333,-1.4666666666666666,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
26,250.0,2023-10-15 17:16:33,33.26269201910357,126.17931448491267,0.0,0.0,0.0,1.1,-10.466666666666667,-1.4333333333333333,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
27,250.0,2023-10-15 17:16:33,33.262692019926,126.179314491415,0.0,0.0,0.0,1.1,-10.4,-1.4,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
28,250.0,2023-10-15 17:16:33,33.26269202923547,126.179314526824,0.0,0.0,0.0,1.1,-10.366666666666667,-1.4,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
29,250.0,2023-10-15 17:16:33,33.262692038544934,126.179314562233,0.0,0.0,0.0,1.1,-10.333333333333334,-1.4,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
30,250.0,2023-10-15 17:16:33,33.2626920478544,126.179314597642,0.0,0.0,0.0,1.1,-10.3,-1.4,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
31,250.0,2023-10-15 17:16:33,33.262692050572966,126.179314607915,0.0,0.0,0.0,1.1,-10.333333333333334,-1.4333333333333333,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
32,250.0,2023-10-15 17:16:33,33.26269205329154,126.179314618188,0.0,0.0,0.0,1.1,-10.366666666666667,-1.4666666666666666,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
33,250.0,2023-10-15 17:16:33,33.2626920560101,126.179314628461,0.0,0.0,0.0,1.1,-10.4,-1.5,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
34,250.0,2023-10-15 17:16:33,33.26269200716693,126.179314612341,0.0,0.0,0.0,1.1,-10.466666666666667,-1.5666666666666667,-19.266666666666666,-89.96666666666667,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
