0,1,1,495.79,570.38,152.55,267.30,0.91,-1,-1,-1
0,2,1,1212.30,1722.60,81.00,197.10,0.90,-1,-1,-1
1,1,1,496.36,571.84,151.41,265.25,0.91,-1,-1,-1
1,2,1,1212.90,1722.60,80.97,197.10,0.90,-1,-1,-1
2,1,1,495.69,570.24,151.70,265.69,0.91,-1,-1,-1
2,2,1,1213.02,1722.60,80.94,197.10,0.89,-1,-1,-1
3,1,1,495.31,571.01,151.10,264.58,0.91,-1,-1,-1
3,2,1,1213.04,1723.63,80.94,197.10,0.90,-1,-1,-1
4,1,1,495.06,570.28,151.18,264.72,0.91,-1,-1,-1
4,2,1,1213.50,1723.96,81.00,197.10,0.90,-1,-1,-1
5,1,1,494.77,568.35,152.15,266.49,0.91,-1,-1,-1
5,2,1,1213.63,1725.02,81.07,197.10,0.90,-1,-1,-1
6,1,1,494.73,567.22,151.93,266.17,0.91,-1,-1,-1
6,2,1,1213.60,1724.42,81.23,197.10,0.89,-1,-1,-1
7,1,1,494.94,566.61,151.41,265.35,0.91,-1,-1,-1
7,2,1,1213.61,1723.26,81.21,197.10,0.89,-1,-1,-1
8,1,1,494.65,565.73,151.50,265.74,0.91,-1,-1,-1
8,2,1,1213.57,1721.90,81.29,197.10,0.89,-1,-1,-1
9,1,1,494.59,564.53,151.92,266.79,0.91,-1,-1,-1
9,2,1,1213.91,1722.32,80.60,195.27,0.90,-1,-1,-1
10,1,1,495.09,564.57,151.50,266.28,0.91,-1,-1,-1
10,2,1,1213.96,1722.48,80.48,194.60,0.90,-1,-1,-1
11,1,1,495.06,563.94,151.33,266.31,0.91,-1,-1,-1
11,2,1,1213.92,1722.54,80.54,194.36,0.90,-1,-1,-1
11,3,0,2734.55,400.55,22.16,42.25,0.63,-1,-1,-1
12,1,1,494.72,563.50,151.50,266.99,0.91,-1,-1,-1
12,2,1,1213.86,1722.57,80.66,194.28,0.91,-1,-1,-1
12,3,0,2734.97,400.85,21.73,41.43,0.62,-1,-1,-1
13,1,1,494.82,563.59,151.09,266.57,0.91,-1,-1,-1
13,2,1,1213.79,1722.58,80.79,194.27,0.91,-1,-1,-1
13,3,0,2735.12,399.90,21.58,41.15,0.57,-1,-1,-1
14,1,1,495.02,564.10,150.63,265.96,0.91,-1,-1,-1
14,2,1,1213.78,1722.58,80.80,194.27,0.91,-1,-1,-1
14,3,0,2735.66,399.10,20.53,39.05,0.52,-1,-1,-1
15,1,1,495.11,563.64,150.44,265.95,0.92,-1,-1,-1
15,2,1,1214.27,1722.59,80.70,194.28,0.90,-1,-1,-1
15,3,0,2735.30,398.35,21.25,40.41,0.50,-1,-1,-1
16,1,1,494.79,562.14,150.64,266.84,0.92,-1,-1,-1
16,2,1,1214.81,1722.59,80.85,194.30,0.91,-1,-1,-1
16,3,0,2735.55,396.94,22.64,43.23,0.51,-1,-1,-1
17,1,1,494.72,561.37,150.16,266.51,0.92,-1,-1,-1
17,2,1,1215.03,1722.59,80.87,194.31,0.91,-1,-1,-1
17,3,0,2735.15,396.68,20.47,38.78,0.45,-1,-1,-1
18,1,1,494.65,559.99,150.09,267.05,0.92,-1,-1,-1
18,2,1,1215.94,1723.49,81.00,194.32,0.91,-1,-1,-1
18,3,0,2736.70,396.89,18.08,33.63,0.35,-1,-1,-1
19,1,1,494.67,559.26,149.97,267.47,0.92,-1,-1,-1
19,2,1,1215.34,1723.82,81.13,194.33,0.91,-1,-1,-1
19,3,0,2737.85,395.78,18.00,33.38,0.42,-1,-1,-1
20,1,1,494.87,558.79,149.55,267.40,0.92,-1,-1,-1
20,2,1,1215.46,1723.95,81.37,194.34,0.91,-1,-1,-1
20,3,0,2737.69,394.96,17.10,31.43,0.33,-1,-1,-1
21,1,1,494.63,557.97,149.15,267.15,0.92,-1,-1,-1
21,2,1,1214.92,1723.10,81.71,194.35,0.91,-1,-1,-1
21,3,0,2735.95,393.04,20.14,37.03,0.30,-1,-1,-1
22,1,1,494.59,557.47,148.90,267.27,0.92,-1,-1,-1
22,2,1,1214.56,1722.77,82.15,194.35,0.90,-1,-1,-1
23,1,1,494.42,555.96,149.12,268.21,0.92,-1,-1,-1
23,2,1,1213.92,1721.76,82.42,194.36,0.91,-1,-1,-1
24,1,1,495.02,555.86,148.34,267.22,0.92,-1,-1,-1
24,2,1,1213.54,1721.37,82.79,194.36,0.91,-1,-1,-1
25,1,1,494.77,554.52,148.56,268.18,0.92,-1,-1,-1
25,2,1,1214.19,1720.34,83.13,194.37,0.92,-1,-1,-1
26,1,1,494.51,553.59,148.54,268.54,0.92,-1,-1,-1
26,2,1,1214.34,1720.85,83.44,194.37,0.92,-1,-1,-1
27,1,1,494.37,552.38,148.62,269.12,0.93,-1,-1,-1
27,2,1,1214.31,1720.16,83.72,194.37,0.91,-1,-1,-1
28,1,1,494.49,551.95,148.31,268.88,0.93,-1,-1,-1
28,2,1,1214.55,1720.80,83.32,192.59,0.92,-1,-1,-1
29,1,1,495.03,551.60,147.65,268.12,0.93,-1,-1,-1
29,2,1,1214.53,1720.16,84.27,193.71,0.91,-1,-1,-1
30,1,1,495.12,550.60,147.21,267.82,0.93,-1,-1,-1
30,2,1,1215.28,1719.92,84.89,194.14,0.91,-1,-1,-1
31,1,1,495.17,550.03,147.00,267.93,0.93,-1,-1,-1
31,2,1,1215.89,1719.84,85.35,194.30,0.92,-1,-1,-1
32,1,1,495.25,549.62,146.82,268.19,0.93,-1,-1,-1
