34.40000,127.00000, 2.060, 1.980, 0.090
34.40000,127.05000, 2.010, 1.940, 0.080
34.40000,127.10000, 1.970, 1.920, 0.070
34.40000,127.15000, 1.940, 1.890, 0.070
34.40000,127.20000, 1.920, 1.870, 0.060
34.40000,127.25000, 1.890, 1.840, 0.050
34.40000,127.30000, 1.860, 1.810, 0.050
34.40000,127.35000, 1.840, 1.780, 0.050
34.40000,127.40000, 1.820, 1.760, 0.060
34.40000,127.45000, 1.820, 1.730, 0.080
34.40000,127.50000, 1.810, 1.710, 0.090
34.35000,125.50000, 1.800, 1.760, 0.040
34.35000,125.55000, 1.830, 1.790, 0.040
34.35000,125.60000, 1.870, 1.830, 0.040
34.35000,125.65000, 1.910, 1.860, 0.040
34.35000,125.70000, 1.950, 1.900, 0.050
34.35000,125.75000, 1.990, 1.930, 0.050
34.35000,125.80000, 2.020, 1.960, 0.050
34.35000,125.85000, 2.030, 1.970, 0.060
34.35000,125.90000, 2.020, 1.960, 0.070
34.35000,125.95000, 1.990, 1.920, 0.070
34.35000,126.00000, 1.920, 1.860, 0.070
34.35000,126.05000, 1.900, 1.830, 0.080
34.35000,126.10000, 1.900, 1.810, 0.100
34.35000,126.15000, 1.950, 1.820, 0.120
34.35000,126.20000, 1.990, 1.840, 0.110
34.35000,126.25000, 2.000, 1.850, 0.090
34.35000,126.30000, 2.020, 1.870, 0.080
34.35000,126.35000, 2.060, 1.890, 0.100
34.35000,126.40000, 2.130, 1.930, 0.150
34.35000,126.45000, 2.190, 1.970, 0.190
34.35000,126.50000, 2.190, 1.990, 0.190
34.35000,126.55000, 2.140, 2.010, 0.140
34.35000,126.60000, 2.090, 2.020, 0.090
34.35000,126.65000, 2.080, 2.030, 0.060
34.35000,126.70000, 2.100, 2.040, 0.070
34.35000,126.75000, 2.130, 2.040, 0.100
34.35000,126.80000, 2.170, 2.040, 0.120
34.35000,126.85000, 2.190, 2.040, 0.140
34.35000,126.90000, 2.180, 2.030, 0.140
34.35000,126.95000, 2.110, 1.990, 0.120
34.35000,127.00000, 2.030, 1.940, 0.090
34.35000,127.05000, 1.960, 1.900, 0.060
34.35000,127.10000, 1.900, 1.870, 0.040
34.35000,127.15000, 1.860, 1.850, 0.030
34.35000,127.20000, 1.830, 1.830, 0.010
34.35000,127.25000, 1.800, 1.800, 0.010
34.35000,127.30000, 1.780, 1.770, 0.010
34.35000,127.35000, 1.760, 1.740, 0.020
34.35000,127.40000, 1.750, 1.700, 0.040
34.35000,127.45000, 1.730, 1.660, 0.060
34.35000,127.50000, 1.710, 1.620, 0.090
34.30000,125.50000, 1.760, 1.720, 0.050
34.30000,125.55000, 1.790, 1.740, 0.050
34.30000,125.60000, 1.830, 1.780, 0.050
34.30000,125.65000, 1.870, 1.820, 0.050
34.30000,125.70000, 1.920, 1.860, 0.060
34.30000,125.75000, 1.970, 1.900, 0.060
34.30000,125.80000, 2.010, 1.940, 0.060
34.30000,125.85000, 2.030, 1.960, 0.060
34.30000,125.90000, 2.020, 1.960, 0.060
34.30000,125.95000, 1.960, 1.910, 0.050
34.30000,126.00000, 1.860, 1.830, 0.040
34.30000,126.05000, 1.790, 1.760, 0.040
34.30000,126.10000, 1.790, 1.740, 0.060
34.30000,126.15000, 1.840, 1.750, 0.080
34.30000,126.20000, 1.910, 1.770, 0.090
34.30000,126.25000, 1.950, 1.800, 0.090
34.30000,126.30000, 1.990, 1.820, 0.110
34.30000,126.35000, 2.050, 1.860, 0.130
34.30000,126.40000, 2.070, 1.890, 0.150
34.30000,126.45000, 2.130, 1.920, 0.180
34.30000,126.50000, 2.110, 1.940, 0.160
34.30000,126.55000, 2.050, 1.950, 0.120
34.30000,126.60000, 2.010, 1.960, 0.080
34.30000,126.65000, 2.000, 1.970, 0.060
34.30000,126.70000, 2.010, 1.970, 0.050
34.30000,126.75000, 2.030, 1.970, 0.070
34.30000,126.80000, 2.060, 1.980, 0.080
34.30000,126.85000, 2.070, 1.980, 0.090
34.30000,126.90000, 2.060, 1.960, 0.100
34.30000,126.95000, 2.020, 1.930, 0.090
34.30000,127.00000, 1.950, 1.890, 0.060
34.30000,127.05000, 1.890, 1.860, 0.030
34.30000,127.10000, 1.830, 1.830, 0.010
34.30000,127.15000, 1.780, 1.810,-0.020
34.30000,127.20000, 1.750, 1.790,-0.030
34.30000,127.25000, 1.720, 1.770,-0.040
34.30000,127.30000, 1.700, 1.740,-0.030
34.30000,127.35000, 1.690, 1.700,-0.010
34.30000,127.40000, 1.670, 1.650, 0.020
34.30000,127.45000, 1.640, 1.600, 0.050
34.30000,127.50000, 1.610, 1.540, 0.070
34.25000,125.50000, 1.710, 1.650, 0.050
34.25000,125.55000, 1.740, 1.680, 0.060
34.25000,125.60000, 1.770, 1.710, 0.060
34.25000,125.65000, 1.820, 1.750, 0.060
34.25000,125.70000, 1.860, 1.790, 0.060
34.25000,125.75000, 1.910, 1.840, 0.070
34.25000,125.80000, 1.960, 1.890, 0.070
